code,name,high,low,close,change,volume,value,frequency
SLIS,Gaya Abadi Sempurna Tbk.,94,90,91,2,16.377.300,1.499.704.200,1.403
PURE,Trinitan Metals and Minerals T,0,0,51,0,0,0,0
IRRA,Itama Ranoraya Tbk.,450,434,434,10,1.699.000,749.144.000,488
DMMX,Digital Mediatama Maxima Tbk.,372,356,362,10,3.116.400,1.127.085.200,557
SINI,Singaraja Putra Tbk.,10.750,10.750,10.750,975,618.100,6.644.575.000,148
WOWS,Ginting Jaya Energi Tbk.,94,88,88,4,36.957.700,3.331.763.100,3.450
ESIP,Sinergi Inti Plastindo Tbk.,86,77,81,5,14.619.400,1.181.761.300,1.937
TEBE,Dana Brata Luhur Tbk.,2.330,2.090,2.290,170,7.969.700,17.907.478.000,3.252
KEJU,Mulia Boga Raya Tbk.,650,620,625,20,682.300,428.037.500,291
PSGO,Palma Serasih Tbk.,216,202,208,6,1.088.700,225.853.400,242
AGAR,Asia Sejahtera Mina Tbk.,242,236,236,0,40.000,9.497.800,34
IFSH,Ifishdeco Tbk.,810,770,800,5,19.000,14.946.500,21
REAL,Repower Asia Indonesia Tbk.,70,66,67,2,66.791.300,4.474.297.700,4.149
IFII,Indonesia Fibreboard Industry ,226,220,222,0,61.700,13.725.800,44
PMJS,Putra Mandiri Jembar Tbk.,115,113,114,0,85.200,9.640.100,38
UCID,Uni-Charm Indonesia Tbk.,424,418,418,2,708.100,297.530.800,167
GLVA,Galva Technologies Tbk.,402,398,398,0,22.500,8.997.400,25
PGJO,Bahtera Bumi Raya Tbk.,1.060,1.000,1.010,25,3.003.100,3.024.832.000,551
AMAR,Bank Amar Indonesia Tbk.,232,224,224,8,1.220.900,276.767.800,532
CSRA,Cisadane Sawit Raya Tbk.,945,925,925,20,1.219.000,1.137.956.500,335
INDO,Royalindo Investa Wijaya Tbk.,360,354,360,4,15.363.700,5.526.394.400,1.509
AMOR,Ashmore Asset Management Indon,388,380,384,2,394.600,150.902.200,175
TRIN,Perintis Triniti Properti Tbk.,845,740,795,40,30.187.500,23.550.694.500,4.407
DMND,Diamond Food Indonesia Tbk.,745,690,740,40,1.397.000,988.971.500,330
PURA,Putra Rajawali Kencana Tbk.,44,42,42,4,17.421.100,751.263.700,455
PTPW,Pratama Widya Tbk.,995,980,990,15,995.400,984.498.500,197
TAMA,Lancartama Sejati Tbk.,40,37,40,2,1.118.400,43.560.400,86
IKAN,Era Mandiri Cemerlang Tbk.,115,113,114,0,4.008.800,454.894.800,648
SAMF,Saraswanti Anugerah Makmur Tbk,314,306,312,2,100.000,31.134.800,88
SBAT,Sejahtera Bintang Abadi Textil,0,0,1,0,0,0,0
KBAG,Karya Bersama Anugerah Tbk.,49,48,48,0,7.058.600,340.671.200,252
CBMF,Cahaya Bintang Medan Tbk.,0,0,50,0,0,0,0
RONY,Aracord Nusantara Group Tbk.,3.890,3.780,3.890,0,32.300,122.930.000,69
CSMI,Cipta Selera Murni Tbk.,262,230,262,34,63.255.900,15.586.137.600,6.272
BBSS,Bumi Benowo Sukses Sejahtera T,412,398,406,0,13.400,5.405.400,43
BHAT,Bhakti Multi Artha Tbk.,1.330,1.280,1.285,45,64.000,82.829.500,43
CASH,Cashlez Worldwide Indonesia Tb,105,101,102,1,445.000,45.549.800,155
TECH,Indosterling Technomedia Tbk.,0,0,50,0,0,0,0
EPAC,Megalestari Epack Sentosaraya ,42,40,42,2,9.600.900,390.939.600,246
UANG,Pakuan Tbk.,4.790,4.320,4.500,140,709.600,3.233.782.000,580
PGUN,Pradiksi Gunatama Tbk.,10.475,9.850,9.850,150,131.400,1.320.567.500,291
SOFA,Boston Furniture Industries Tb,440,396,396,42,14.799.100,5.927.617.800,942
PPGL,Prima Globalindo Logistik Tbk.,158,138,151,2,11.105.800,1.604.940.900,890
TOYS,Sunindo Adipersada Tbk.,0,0,8,0,0,0,0
SGER,Sumber Global Energy Tbk.,410,398,410,0,24.685.600,9.988.780.800,1.497
TRJA,Transkon Jaya Tbk.,199,169,173,11,12.581.300,2.280.807.500,2.055
PNGO,Pinago Utama Tbk.,3.050,3.020,3.040,20,5.900,17.926.000,24
SCNP,Selaras Citra Nusantara Perkas,161,155,157,4,93.600,14.827.400,32
BBSI,Krom Bank Indonesia Tbk.,4.030,3.810,3.920,10,15.800,62.161.000,62
KMDS,Kurniamitra Duta Sentosa Tbk.,695,675,680,15,42.300,28.634.000,47
PURI,Puri Global Sukses Tbk.,278,240,246,24,10.757.700,2.685.018.200,1.788
SOHO,Soho Global Health Tbk.,1.315,1.285,1.295,20,18.200,23.625.000,57
HOMI,Grand House Mulia Tbk.,810,685,735,25,5.043.900,3.808.819.500,520
ROCK,Rockfields Properti Indonesia ,0,0,1.655,0,0,0,0
ENZO,Morenzo Abadi Perkasa Tbk.,47,45,45,3,682.400,30.840.000,48
PLAN,Planet Properindo Jaya Tbk.,46,44,44,2,2.324.200,104.145.500,179
PTDU,Djasa Ubersakti Tbk.,0,0,113,0,0,0,0
ATAP,Trimitra Prawara Goldland Tbk.,416,416,416,82,3.173.400,1.320.134.400,138
VICI,Victoria Care Indonesia Tbk.,765,635,645,55,3.436.000,2.410.181.000,532
PMMP,Panca Mitra Multiperdana Tbk.,0,0,50,0,0,0,0
BANK,Bank Aladin Syariah Tbk.,950,910,925,5,6.058.100,5.603.826.000,842
WMUU,Widodo Makmur Unggas Tbk.,64,63,64,2,76.951.900,4.882.861.700,1.410
EDGE,Indointernet Tbk.,4.670,4.400,4.540,30,27.000,121.955.000,77
UNIQ,Ulima Nitra Tbk.,505,490,498,6,41.709.900,20.748.452.600,1.107
BEBS,Berkah Beton Sadaya Tbk.,0,0,5,0,0,0,0
SNLK,Sunter Lakeside Hotel Tbk.,394,336,370,24,2.478.800,879.157.400,567
ZYRX,Zyrexindo Mandiri Buana Tbk.,162,157,158,2,738.600,117.476.100,263
LFLO,Imago Mulia Persada Tbk.,725,615,695,20,25.100,17.052.000,72
FIMP,Fimperkasa Utama Tbk.,0,0,69,0,0,0,0
TAPG,Triputra Agro Persada Tbk.,1.510,1.480,1.490,10,9.900.900,14.750.268.000,5.661
NPGF,Nusa Palapa Gemilang Tbk.,59,57,58,0,6.940.200,401.198.300,378
LUCY,Lima Dua Lima Tiga Tbk.,366,330,366,0,7.115.400,2.445.852.000,271
ADCP,Adhi Commuter Properti Tbk.,57,55,56,1,26.911.200,1.500.303.000,1.005
HOPE,Harapan Duta Pertiwi Tbk.,143,129,135,2,103.464.900,14.190.151.400,2.053
MGLV,Panca Anugrah Wisesa Tbk.,0,0,2.200,0,0,0,0
TRUE,Triniti Dinamik Tbk.,204,204,204,22,10.326.500,2.106.606.000,800
LABA,Green Power Group Tbk.,175,160,164,11,42.014.600,6.962.578.400,4.902
ARCI,Archi Indonesia Tbk.,1.730,1.625,1.680,95,216.358.900,362.366.981.000,41.990
IPAC,Era Graharealty Tbk.,183,178,179,5,83.400,15.034.700,43
MASB,Bank Multiarta Sentosa Tbk.,3.380,3.290,3.320,30,7.600,25.646.000,10
BMHS,Bundamedik Tbk.,197,183,192,2,7.018.900,1.349.061.600,1.265
FLMC,Falmaco Nonwoven Industri Tbk.,123,107,109,5,3.406.400,389.362.300,727
NICL,PAM Mineral Tbk.,1.115,1.050,1.095,20,42.379.700,46.058.265.500,2.392
UVCR,Trimegah Karya Pratama Tbk.,145,124,135,3,83.611.400,11.447.963.200,5.610
BUKA,Bukalapak.com Tbk.,163,154,155,7,260.214.500,40.903.354.000,6.485
HAIS,Hasnur Internasional Shipping ,240,228,230,8,6.251.900,1.450.678.000,791
OILS,Indo Oil Perkasa Tbk.,256,234,236,18,6.635.500,1.621.078.600,1.228
GPSO,Geoprima Solusi Tbk.,825,755,760,25,3.159.200,2.465.628.000,821
MCOL,Prima Andalan Mandiri Tbk.,3.800,3.690,3.700,0,21.100,78.312.000,33
RSGK,Kedoya Adyaraya Tbk.,0,0,980,0,0,0,0
RUNS,Global Sukses Solusi Tbk.,98,90,93,3,2.834.600,272.424.000,821
SBMA,Surya Biru Murni Acetylene Tbk,133,130,131,1,690.000,90.786.300,94
CMNT,Cemindo Gemilang Tbk.,815,790,805,10,16.720.500,13.337.370.500,1.117
GTSI,GTS Internasional Tbk.,246,236,236,26,120.351.000,28.921.480.600,4.762
IDEA,Idea Indonesia Akademi Tbk.,105,97,97,10,12.839.700,1.260.824.800,768
KUAS,Ace Oldfields Tbk.,77,71,74,4,34.939.400,2.570.533.000,2.271
BOBA,Formosa Ingredient Factory Tbk,195,189,192,1,226.900,43.310.000,106
MTEL,Dayamitra Telekomunikasi Tbk.,605,585,600,15,6.965.400,4.148.132.000,706
DEPO,Caturkarda Depo Bangunan Tbk.,288,274,276,10,562.700,158.896.600,191
BINO,Perma Plasindo Tbk.,136,134,134,3,1.340.200,180.671.100,255
CMRY,Cisarua Mountain Dairy Tbk.,5.550,5.350,5.550,175,2.332.900,12.738.625.000,2.032
WGSH,Wira Global Solusi Tbk.,250,216,226,12,2.381.000,526.641.800,373
TAYS,Jaya Swarasa Agung Tbk.,79,77,77,2,5.927.500,457.550.600,421
WMPP,Widodo Makmur Perkasa Tbk.,0,0,12,0,0,0,0
RMKE,RMK Energy Tbk.,4.990,4.850,4.920,10,21.045.400,103.783.873.000,4.684
OBMD,OBM Drilchem Tbk.,276,266,272,0,1.829.600,496.421.800,104
AVIA,Avia Avian Tbk.,464,454,462,10,8.948.100,4.116.876.000,2.391
IPPE,Indo Pureco Pratama Tbk.,0,0,14,0,0,0,0
NASI,Wahana Inti Makmur Tbk.,111,106,107,2,6.670.300,721.221.300,631
BSML,Bintang Samudera Mandiri Lines,256,214,254,28,52.243.400,12.584.425.800,3.171
DRMA,Dharma Polimetal Tbk.,1.060,1.030,1.050,10,610.700,637.862.500,378
ADMR,Alamtri Minerals Indonesia Tbk,1.430,1.350,1.415,55,49.434.100,69.068.652.500,12.478
SEMA,Semacom Integrated Tbk.,124,118,121,1,2.268.500,276.430.400,312
ASLC,Autopedia Sukses Lestari Tbk.,88,84,85,2,40.728.900,3.475.947.200,1.892
NETV,MDTV Media Technologies Tbk.,157,117,147,30,419.094.500,61.383.136.600,39.546
BAUT,Mitra Angkasa Sejahtera Tbk.,39,38,38,1,3.205.500,122.930.700,112
ENAK,Champ Resto Indonesia Tbk.,635,595,605,35,430.600,260.115.000,75
NTBK,Nusatama Berkah Tbk.,122,105,110,4,49.376.100,5.641.709.700,4.116
SMKM,Sumber Mas Konstruksi Tbk.,118,112,116,1,8.379.000,972.771.400,652
STAA,Sumber Tani Agung Resources Tb,1.350,1.315,1.340,5,5.056.200,6.742.878.000,879
NANO,Nanotech Indonesia Global Tbk.,45,40,40,4,38.634.700,1.581.581.300,1.578
BIKE,Sepeda Bersama Indonesia Tbk.,770,745,760,0,9.823.900,7.452.138.500,2.927
WIRG,WIR ASIA Tbk.,104,96,97,5,251.412.100,24.807.869.400,9.038
SICO,Sigma Energy Compressindo Tbk.,129,125,125,2,2.438.000,305.999.000,451
GOTO,GoTo Gojek Tokopedia Tbk.,66,64,64,1,2.113.323.700,136.609.465.500,21.199
TLDN,Teladan Prima Agro Tbk.,695,670,685,5,1.112.400,766.743.500,198
MTMH,Murni Sadar Tbk.,1.165,1.150,1.150,0,4.600,5.305.000,11
WINR,Winner Nusantara Jaya Tbk.,42,42,42,0,9.640.500,404.901.000,351
IBOS,Indo Boga Sukses Tbk.,73,69,69,4,17.139.600,1.219.390.500,592
OLIV,Oscar Mitra Sukses Sejahtera T,87,75,78,4,20.003.800,1.576.737.200,1.623
ASHA,Cilacap Samudera Fishing Indus,78,70,72,4,80.848.700,5.829.432.800,5.933
SWID,Saraswanti Indoland Developmen,127,121,125,1,4.691.200,585.247.600,537
TRGU,Cerestar Indonesia Tbk.,200,194,199,1,232.400,45.849.600,84
ARKO,Arkora Hydro Tbk.,4.200,3.880,4.200,80,3.010.100,12.025.388.000,497
CHEM,Chemstar Indonesia Tbk.,102,96,98,3,5.749.900,562.937.300,632
DEWI,Dewi Shri Farmindo Tbk.,170,144,153,14,163.622.900,25.320.666.600,11.171
AXIO,Tera Data Indonusa Tbk.,132,129,132,1,864.200,112.575.300,265
KRYA,Bangun Karya Perkasa Jaya Tbk.,179,168,170,0,16.586.700,2.836.706.800,1.560
HATM,Habco Trans Maritima Tbk.,412,390,404,4,12.315.500,4.930.535.000,740
RCCC,Utama Radar Cahaya Tbk.,180,171,178,1,693.000,121.360.500,185
GULA,Aman Agrindo Tbk.,280,274,278,2,1.131.600,312.180.000,472
JARR,Jhonlin Agro Raya Tbk.,3.360,3.150,3.200,20,5.071.300,16.467.120.000,3.203
AMMS,Agung Menjangan Mas Tbk.,420,378,378,40,4.719.800,1.823.875.800,576
RAFI,Sari Kreasi Boga Tbk.,36,35,35,0,5.129.000,182.273.900,192
KKES,Kusuma Kemindo Sentosa Tbk.,31,30,30,1,4.541.500,137.552.000,106
ELPI,Pelayaran Nasional Ekalya Purn,790,695,750,50,5.132.400,3.805.171.000,1.676
EURO,Estee Gold Feet Tbk.,268,250,254,6,137.200,35.010.200,79
KLIN,Klinko Karya Imaji Tbk.,172,152,152,14,264.200,43.300.800,63
TOOL,Rohartindo Nusantara Luas Tbk.,66,58,60,0,26.248.400,1.643.363.600,4.007
BUAH,Segar Kumala Indonesia Tbk.,670,655,665,5,158.400,104.556.500,69
CRAB,Toba Surimi Industries Tbk.,266,260,262,2,3.482.700,914.880.200,181
MEDS,Hetzer Medical Indonesia Tbk.,75,67,69,4,11.358.000,790.623.300,1.125
COAL,Black Diamond Resources Tbk.,101,82,93,1,1.276.748.200,117.422.503.600,61.791
PRAY,Famon Awal Bros Sedaya Tbk.,845,800,835,5,184.700,153.935.500,39
CBUT,Citra Borneo Utama Tbk.,1.075,1.010,1.040,20,110.600,115.835.000,210
BELI,Global Digital Niaga Tbk.,474,466,472,2,11.971.200,5.632.453.600,420
MKTR,Menthobi Karyatama Raya Tbk.,150,144,147,0,1.302.300,190.543.500,172
OMED,Jayamas Medica Industri Tbk.,212,202,212,2,3.281.800,680.332.400,512
BSBK,Wulandari Bangun Laksana Tbk.,73,69,69,3,59.392.500,4.137.931.000,3.691
PDPP,Primadaya Plastisindo Tbk.,338,316,330,0,135.900,44.693.000,135
KDTN,Puri Sentul Permai Tbk.,1.005,825,840,130,20.160.100,17.522.979.000,4.252
ZATA,Bersama Zatta Jaya Tbk.,63,60,60,2,21.758.800,1.331.881.700,1.521
NINE,Techno9 Indonesia Tbk.,0,0,310,0,0,0,0
MMIX,Multi Medika Internasional Tbk,230,214,224,6,4.112.400,905.698.600,463
PADA,Personel Alih Daya Tbk.,258,206,224,16,137.690.800,31.075.675.800,10.644
ISAP,Isra Presisi Indonesia Tbk.,29,28,28,1,14.409.800,406.586.300,679
VTNY,Venteny Fortuna International ,94,91,93,0,27.022.900,2.486.938.700,1.278
SOUL,Mitra Tirta Buwana Tbk.,81,76,78,2,1.150.100,89.248.200,208
ELIT,Data Sinergitama Jaya Tbk.,204,193,198,2,17.037.300,3.400.287.300,2.087
BEER,Jobubu Jarum Minahasa Tbk.,262,242,242,16,4.054.400,1.008.313.600,613
CBPE,Citra Buana Prasida Tbk.,320,306,306,8,96.300,29.997.200,103
SUNI,Sunindo Pratama Tbk.,815,780,815,10,1.420.100,1.119.921.000,314
CBRE,Cakra Buana Resources Energi T,1.090,1.025,1.045,15,21.285.800,22.341.715.500,7.287
WINE,Hatten Bali Tbk.,208,204,206,0,3.416.700,702.895.600,621
BMBL,Lavender Bina Cendikia Tbk.,55,51,52,2,3.287.100,171.190.900,534
PEVE,Penta Valent Tbk.,550,530,540,5,578.700,312.485.000,83
LAJU,Jasa Berdikari Logistics Tbk.,77,73,73,2,11.851.300,876.608.600,866
FWCT,Wijaya Cahaya Timber Tbk.,148,144,147,1,3.228.700,471.645.500,375
NAYZ,Hassana Boga Sejahtera Tbk.,65,60,61,3,10.157.400,620.883.400,875
IRSX,Folago Global Nusantara Tbk.,0,0,690,0,0,0,0
PACK,Abadi Nusantara Hijau Investam,1.930,1.880,1.920,5,1.207.700,2.302.364.000,395
VAST,Vastland Indonesia Tbk.,170,155,162,4,8.224.000,1.354.535.600,457
CHIP,Pelita Teknologi Global Tbk.,1.345,1.315,1.335,5,153.400,203.895.000,370
HALO,Haloni Jane Tbk.,91,88,90,0,17.526.600,1.565.251.100,1.215
KING,Hoffmen Cleanindo Tbk.,210,199,202,8,1.471.600,297.991.200,301
PGEO,Pertamina Geothermal Energy Tb,1.130,1.110,1.115,10,14.665.700,16.401.317.500,4.248
FUTR,Futura Energi Global Tbk.,710,640,665,0,66.351.100,45.017.978.500,8.574
HILL,Hillcon Tbk.,159,147,156,1,9.817.700,1.483.914.900,2.000
BDKR,Berdikari Pondasi Perkasa Tbk.,190,173,175,15,43.642.300,7.821.903.800,3.682
PTMP,Mitra Pack Tbk.,83,80,82,1,5.901.300,480.394.700,573
SAGE,Saptausaha Gemilangindah Tbk.,41,38,41,3,14.292.300,575.313.300,488
TRON,Teknologi Karya Digital Nusa T,274,274,274,24,41.691.500,11.423.471.000,1.215
CUAN,Petrindo Jaya Kreasi Tbk.,2.280,2.220,2.250,10,33.301.100,75.032.136.000,8.684
NSSS,Nusantara Sawit Sejahtera Tbk.,705,665,700,20,10.145.300,7.032.233.000,1.539
GTRA,Grahaprima Suksesmandiri Tbk.,286,264,272,0,934.700,250.509.800,285
HAJJ,Arsy Buana Travelindo Tbk.,125,121,124,0,10.806.800,1.323.351.000,597
JATI,Informasi Teknologi Indonesia ,133,127,127,1,14.567.000,1.868.980.100,1.255
TYRE,King Tire Indonesia Tbk.,124,120,123,1,199.000,24.235.500,79
MPXL,MPX Logistics International Tb,242,220,242,16,12.173.700,2.858.898.800,1.237
SMIL,Sarana Mitra Luas Tbk.,354,330,348,14,219.033.000,74.627.859.600,6.723
KLAS,Pelayaran Kurnia Lautan Semest,146,127,129,11,26.567.500,3.549.852.200,2.138
MAXI,Maxindo Karya Anugerah Tbk.,53,51,51,2,5.297.600,276.447.600,287
VKTR,VKTR Teknologi Mobilitas Tbk.,810,680,745,50,153.677.300,112.872.940.000,15.822
RELF,Graha Mitra Asia Tbk.,44,41,43,1,15.593.700,657.690.700,1.257
AMMN,Amman Mineral Internasional Tb,6.500,6.250,6.500,175,22.451.100,143.336.325.000,6.828
CRSN,Carsurin Tbk.,160,124,126,14,78.940.100,11.385.309.800,6.884
GRPM,Graha Prima Mentari Tbk.,63,60,61,1,1.307.600,80.404.600,215
WIDI,Widiant Jaya Krenindo Tbk.,39,36,38,1,8.575.700,316.830.200,479
TGUK,Platinum Wahab Nusantara Tbk.,0,0,137,0,0,0,0
INET,Sinergi Inti Andalan Prima Tbk,760,630,685,40,641.711.800,445.780.245.000,74.457
MAHA,Mandiri Herindo Adiperkasa Tbk,190,175,177,11,75.656.600,13.567.766.100,6.200
RMKO,Royaltama Mulia Kontraktorindo,316,268,306,10,16.403.000,4.845.594.800,2.406
CNMA,Nusantara Sejahtera Raya Tbk.,120,118,118,0,15.247.200,1.810.129.400,1.138
FOLK,Multi Garam Utama Tbk.,0,0,490,0,0,0,0
HBAT,Minahasa Membangun Hebat Tbk.,308,256,306,22,2.826.600,794.305.400,538
GRIA,Ingria Pratama Capitalindo Tbk,95,92,92,1,1.084.500,100.715.100,196
PPRI,Paperocks Indonesia Tbk.,282,264,266,14,4.150.300,1.113.836.200,796
ERAL,Sinar Eka Selaras Tbk.,322,308,310,10,13.347.600,4.154.392.400,1.064
CYBR,ITSEC Asia Tbk.,1.410,1.335,1.395,35,11.839.400,16.133.156.500,7.551
MUTU,Mutuagung Lestari Tbk.,129,121,121,0,12.735.000,1.560.575.100,1.200
LMAX,Lupromax Pelumas Indonesia Tbk,147,134,147,13,8.936.600,1.294.679.900,433
HUMI,Humpuss Maritim Internasional ,216,199,204,2,224.225.000,46.455.279.600,20.991
MSIE,Multisarana Intan Eduka Tbk.,47,45,45,2,1.932.800,88.711.000,219
RSCH,Charlie Hospital Semarang Tbk.,460,420,436,4,23.501.200,10.226.362.800,348
BABY,Multitrend Indo Tbk.,392,302,306,48,85.431.700,30.261.958.200,16.420
AEGS,Anugerah Spareparts Sejahtera ,76,66,72,1,21.580.400,1.478.616.500,1.266
IOTF,Sumber Sinergi Makmur Tbk.,86,83,84,2,32.662.000,2.746.017.400,2.139
KOCI,Kokoh Exa Nusantara Tbk.,87,85,86,0,2.574.600,220.053.000,329
PTPS,Pulau Subur Tbk.,190,185,187,3,8.375.900,1.561.235.300,1.374
BREN,Barito Renewables Energy Tbk.,9.550,9.350,9.500,125,7.242.700,68.650.852.500,6.168
STRK,Lovina Beach Brewery Tbk.,210,200,208,6,8.906.000,1.837.874.400,473
KOKA,Koka Indonesia Tbk.,230,212,224,4,12.290.300,2.720.747.600,1.568
LOPI,Logisticsplus International Tb,170,153,157,12,15.232.400,2.364.444.800,1.166
UDNG,Agro Bahari Nusantara Tbk.,4.120,3.560,3.560,390,1.829.200,7.008.639.000,951
RGAS,Kian Santang Muliatama Tbk.,103,100,102,1,2.021.800,204.675.600,240
MSTI,Mastersystem Infotama Tbk.,1.430,1.400,1.425,15,1.263.300,1.784.996.500,449
IKPM,Ikapharmindo Putramas Tbk.,230,214,222,14,1.716.400,379.712.200,457
AYAM,Janu Putra Sejahtera Tbk.,402,390,390,34,54.211.900,21.195.221.400,2.491
SURI,Maja Agung Latexindo Tbk.,99,97,97,1,4.024.700,392.643.000,552
ASLI,Asri Karya Lestari Tbk.,560,510,560,50,8.599.500,4.545.200.000,533
GRPH,Griptha Putra Persada Tbk.,63,61,62,0,5.553.800,344.382.500,235
SMGA,Sumber Mineral Global Abadi Tb,104,101,103,0,12.821.500,1.310.167.800,929
UNTD,Terang Dunia Internusa Tbk.,97,94,96,1,13.773.000,1.310.720.600,1.102
TOSK,Topindo Solusi Komunika Tbk.,68,66,67,1,19.390.000,1.302.783.800,1.069
MPIX,Mitra Pedagang Indonesia Tbk.,74,70,70,3,17.740.100,1.266.409.700,939
ALII,Ancara Logistics Indonesia Tbk,1.240,1.120,1.170,20,7.433.700,8.629.948.000,1.550
MKAP,Multikarya Asia Pasifik Raya T,394,332,370,24,45.317.900,16.282.969.000,2.032
MEJA,Harta Djaya Karya Tbk.,90,80,90,8,95.057.600,8.331.159.600,3.747
LIVE,Homeco Victoria Makmur Tbk.,248,220,242,6,3.831.700,883.751.600,423
HYGN,Ecocare Indo Pasifik Tbk.,160,156,159,0,682.200,107.363.900,76
BAIK,Bersama Mencapai Puncak Tbk.,193,132,132,23,138.825.600,23.781.126.300,16.579
VISI,Satu Visi Putra Tbk.,199,197,197,2,647.900,127.871.700,57
AREA,Dunia Virtual Online Tbk.,610,575,575,10,861.200,504.587.500,430
MHKI,Multi Hanna Kreasindo Tbk.,212,200,202,2,5.834.200,1.189.530.600,1.176
ATLA,Atlantis Subsea Indonesia Tbk.,64,61,62,1,72.420.700,4.493.821.600,3.139
DATA,Remala Abadi Tbk.,4.290,4.100,4.130,120,2.950.800,12.333.205.000,2.262
SOLA,Xolare RCR Energy Tbk.,120,116,117,1,4.260.200,501.068.500,609
BATR,Benteng Api Technic Tbk.,116,111,114,0,1.891.100,212.409.300,227
SPRE,Soraya Berjaya Indonesia Tbk.,197,171,171,18,21.960.900,3.880.665.300,1.608
PART,Cipta Perdana Lancar Tbk.,125,115,115,9,11.986.300,1.424.379.900,2.876
GOLF,Intra Golflink Resorts Tbk.,224,212,218,0,6.948.300,1.531.670.400,614
ISEA,Indo American Seafoods Tbk.,101,99,100,1,4.626.600,459.075.400,499
BLES,Superior Prima Sukses Tbk.,161,157,159,2,8.648.300,1.370.302.000,693
GUNA,Gunanusa Eramandiri Tbk.,288,268,276,10,77.982.700,21.219.316.800,462
LABS,UBC Medical Indonesia Tbk.,142,137,139,1,760.700,105.665.200,145
DOSS,Global Sukses Digital Tbk.,244,214,216,22,10.164.900,2.245.626.200,1.585
NEST,Esta Indonesia Tbk.,374,360,370,10,22.459.500,8.151.670.400,1.176
PTMR,Master Print Tbk.,0,0,374,0,0,0,0
VERN,Verona Indah Pictures Tbk.,128,123,124,3,2.420.100,300.527.900,390
DAAZ,Daaz Bara Lestari Tbk.,2.200,2.180,2.180,0,207.000,452.571.000,196
BOAT,Newport Marine Services Tbk.,216,200,202,8,19.356.000,3.960.549.800,1.914
NAIK,Adiwarna Anugerah Abadi Tbk.,119,116,116,1,10.579.300,1.241.169.300,890
AADI,Adaro Andalan Indonesia Tbk.,7.100,7.000,7.050,0,8.487.600,59.641.447.500,4.471
MDIY,Daya Intiguna Yasa Tbk.,1.005,985,995,5,2.569.800,2.565.364.500,617
KSIX,Kentanix Supra International T,402,386,386,14,1.035.900,407.058.600,123
RATU,Raharja Energi Cepu Tbk.,10.150,9.750,10.025,275,11.678.400,116.655.850.000,7.102
YOII,Asuransi Digital Bersama Tbk.,100,98,98,1,4.806.400,476.323.900,155
HGII,Hero Global Investment Tbk.,155,151,151,4,1.472.500,224.101.700,402
BRRC,Raja Roti Cemerlang Tbk.,134,98,110,2,197.334.600,23.276.189.000,15.217
DGWG,Delta Giri Wacana Tbk.,380,370,372,4,12.357.900,4.621.554.200,2.685
CBDK,Bangun Kosambi Sukses Tbk.,9.400,8.750,8.925,75,19.058.100,172.950.650.000,7.519
OBAT,Brigit Biofarmaka Teknologi Tb,410,394,398,10,2.301.900,921.755.000,691
MINE,Sinar Terang Mandiri Tbk.,510,454,454,4,3.413.500,1.610.993.600,951
ASPR,Asia Pramulia Tbk.,103,99,103,4,73.784.800,7.407.775.800,2.449
PSAT,Pancaran Samudera Transport Tb,1.260,1.230,1.240,10,258.700,322.937.000,195
COIN,Indokripto Koin Semesta Tbk.,3.950,3.760,3.850,0,29.289.400,112.462.463.000,14.987
CDIA,Chandra Daya Investasi Tbk.,1.795,1.765,1.765,10,77.182.200,137.072.856.500,28.713
BLOG,Trimitra Trans Persada Tbk.,460,446,450,4,1.103.700,497.282.600,391
MERI,Merry Riana Edukasi Tbk.,180,175,176,4,1.857.400,326.643.200,413
CHEK,Diastika Biotekindo Tbk.,170,163,170,0,6.387.200,1.058.309.200,484
PMUI,Prima Multi Usaha Indonesia Tb,145,135,142,5,8.664.500,1.219.190.400,518
EMAS,Merdeka Gold Resources Tbk.,5.900,5.300,5.600,350,45.029.300,254.651.805.000,15.568
PJHB,Pelayaran Jaya Hidup Baru Tbk.,352,302,302,52,80.237.900,24.608.238.200,12.440
RLCO,Abadi Lestari Indonesia Tbk.,0,0,1.330,0,0,0,0
SUPA,Super Bank Indonesia Tbk.,1.230,1.050,1.050,180,1.169.944.700,1.262.423.030.000,352.437
KAQI,Jantra Grupo Indonesia Tbk.,71,67,67,3,19.541.700,1.353.220.500,883
YUPI,Yupi Indo Jelly Gum Tbk.,1.615,1.595,1.610,5,54.300,87.085.000,90
FORE,Fore Kopi Indonesia Tbk.,560,535,535,20,6.395.900,3.468.204.500,1.665
MDLA,Medela Potentia Tbk.,272,262,266,4,5.324.700,1.413.686.400,504
DKHH,Cipta Sarana Medika Tbk.,83,80,81,1,5.734.900,465.660.200,753
AYLS,Agro Yasa Lestari Tbk.,0,0,250,0,0,0,0
DADA,Diamond Citra Propertindo Tbk.,50,50,50,0,9.770.400,488.520.000,1.566
ASPI,Andalan Sakti Primaindo Tbk.,720,635,675,45,1.518.000,1.014.101.500,637
ESTA,Esta Multi Usaha Tbk.,0,0,404,0,0,0,0
BESS,Batulicin Nusantara Maritim Tb,1.560,1.500,1.535,35,7.937.800,12.108.564.500,140
AMAN,Makmur Berkah Amanda Tbk.,210,195,200,6,5.153.100,1.044.772.400,1.126
CARE,Metro Healthcare Indonesia Tbk,0,0,755,0,0,0,0
