code,name,high,low,close,change,volume,value,frequency
ICBP,Indofood CBP Sukses Makmur Tbk,8.400,8.275,8.350,75,6.241.200,52.038.780.000,3.676
ICON,Island Concepts Indonesia Tbk.,79,75,75,4,851.100,64.107.100,90
IGAR,Champion Pacific Indonesia Tbk,530,505,510,5,169.600,86.805.000,107
IIKP,Inti Agri Resources Tbk,0,0,50,0,0,0,0
IKAI,Intikeramik Alamasri Industri ,20,20,20,1,48.146.000,962.920.000,662
IKBI,Sumi Indo Kabel Tbk.,530,520,525,5,30.100,15.821.000,31
IMAS,Indomobil Sukses Internasional,1.220,1.170,1.195,15,409.700,491.161.000,219
IMJS,Indomobil Multi Jasa Tbk.,308,274,274,20,54.344.300,15.775.791.600,5.203
IMPC,Impack Pratama Industri Tbk.,3.720,3.610,3.630,10,14.785.800,54.112.162.000,5.094
INAF,Indofarma Tbk.,0,0,126,0,0,0,0
INAI,Indal Aluminium Industry Tbk.,153,148,149,0,123.600,18.737.100,44
INCI,Intanwijaya Internasional Tbk,750,700,740,15,103.500,74.992.500,105
INCO,Vale Indonesia Tbk.,4.450,4.110,4.440,330,35.042.300,152.663.517.000,13.815
INDF,Indofood Sukses Makmur Tbk.,6.850,6.775,6.850,100,3.858.800,26.335.112.500,2.205
INDR,Indo-Rama Synthetics Tbk.,2.840,2.710,2.840,0,61.600,172.367.000,63
INDS,Indospring Tbk.,230,226,230,2,266.700,60.941.000,88
INDX,Tanah Laut Tbk,173,163,169,4,9.801.800,1.649.138.400,1.689
INDY,Indika Energy Tbk.,2.350,2.200,2.300,170,52.355.300,120.155.338.000,11.586
INKP,Indah Kiat Pulp & Paper Tbk.,8.150,7.975,8.125,75,3.578.900,28.850.902.500,3.388
INPC,Bank Artha Graha Internasional,150,146,148,0,7.697.100,1.133.728.400,528
INPP,Indonesian Paradise Property T,715,690,715,5,134.700,94.605.500,46
INRU,Toba Pulp Lestari Tbk.,0,0,590,0,0,0,0
INTA,Intraco Penta Tbk.,0,0,115,0,0,0,0
INTD,Inter Delta Tbk,220,214,214,6,34.600,7.468.200,21
INTP,Indocement Tunggal Prakarsa Tb,7.100,6.825,7.050,100,1.106.300,7.752.797.500,1.175
IPOL,Indopoly Swakarsa Industry Tbk,123,121,122,0,314.400,38.099.900,121
ISAT,Indosat Tbk.,2.470,2.420,2.440,10,8.101.100,19.762.773.000,3.906
ISSP,Steel Pipe Industry of Indones,442,434,434,8,797.500,347.976.000,338
ITMA,Sumber Energi Andalan Tbk.,2.270,1.845,2.130,245,43.305.000,89.779.717.500,2.037
ITMG,Indo Tambangraya Megah Tbk.,21.575,21.375,21.550,25,877.100,18.851.490.000,1.423
JAWA,Jaya Agra Wattie Tbk.,204,192,194,6,4.517.200,881.973.300,882
JECC,Jembo Cable Company Tbk.,1.180,1.130,1.145,5,57.100,65.899.500,42
JIHD,Jakarta International Hotels &,580,560,560,15,2.610.800,1.475.222.500,313
JKON,Jaya Konstruksi Manggala Prata,95,86,86,1,217.833.300,19.394.610.800,7.410
JPFA,Japfa Comfeed Indonesia Tbk.,2.710,2.630,2.650,50,12.004.400,32.150.535.000,5.918
JRPT,Jaya Real Property Tbk.,1.075,1.060,1.075,0,424.800,454.480.000,100
JSMR,Jasa Marga (Persero) Tbk.,3.470,3.390,3.400,50,3.783.200,12.896.550.000,2.146
JSPT,Jakarta Setiabudi Internasiona,3.300,3.210,3.220,50,10.200,33.078.000,47
